	CRC	CTRL
CCIS45793747ST-4-0	0.3231288739469986	0.6768711260530017
HmFeces_10801	0.46216173728232557	0.5378382627176748
S6_020	0.937794708069708	0.06220529193029196
HmFeces_10246	0.674081754356754	0.32591824564324595
S1_007	0.7049490754615763	0.2950509245384248
HmFeces_11475	0.26429456398534606	0.7357054360146543
HmFeces_12022	0.9380389166389167	0.061961083361083386
S6_017	0.2850905687986671	0.7149094312013337
CCIS12656533ST-4-0	0.708389937101643	0.29161006289835717
HmFeces_12070	0.17627285784300603	0.8237271421569939
HmFeces_10698	0.2063645802894741	0.7936354197105256
HmFeces_11035	0.2620937700513163	0.7379062299486836
S1_081	0.5681859060479751	0.43181409395202486
HmFeces_10480	0.23019766870193023	0.7698023312980704
S6_006	0.40425189487520996	0.5957481051247896
HmFeces_10350	0.36458962200902945	0.6354103779909714
SID31537	0.2649987706219999	0.735001229378
VF31	0.22801697513526425	0.7719830248647367
SID31360	0.5964465211188812	0.4035534788811186
CCMD90311071ST-21-0	0.390676686953114	0.6093233130468864
S6_031	0.9941785242535242	0.005821475746475746
CCIS50471204ST-4-0	0.06478726382634593	0.9352127361736546
SID31875	0.8991792873792878	0.10082071262071267
S1_054	0.16752796952252041	0.8324720304774792
CCMD64503764ST-21-0	0.7073773922156277	0.29262260778437266
MMRS64281551ST	0.1496148953273269	0.8503851046726738
ANS78	0.40905900412730967	0.5909409958726911
HmFeces_10827	0.8225061560988031	0.17749384390119669
S6_001	0.31245201576986936	0.6875479842301313
HmFeces_10723	0.25950375859641744	0.7404962414035829
SID31766	0.08386994045867893	0.9161300595413215
MMRS84954772ST	0.2050908746974325	0.7949091253025676
HmFeces_12025	0.8165701725175406	0.18342982748245912
CCMD52117727ST	0.2873883144713165	0.7126116855286835
MMRS78791111ST	0.1602695556582851	0.8397304443417152
VF28	0.29195004427486687	0.7080499557251335
S1_127	0.3081274943442709	0.6918725056557291
HmFeces_11031	0.11860186824250887	0.8813981317574916
S6_007	0.7166202353202349	0.28337976467976456
HmFeces_10091	0.9842629148629147	0.015737085137085136
M2-PK014A	0.9391525974025975	0.060847402597402594
S5_011	0.9808188672438675	0.01918113275613275
M2-PK002A	0.787248987695311	0.21275101230468876
HmFeces_10304	0.1811184111252856	0.8188815888747146
MMRS18295921ST	0.9156333583083585	0.0843666416916417
SID531361	0.4450212966951679	0.554978703304832
HmFeces_11524	0.7454688596534189	0.2545311403465815
M2-PK024A	0.8534001453225136	0.14659985467748626
CCIS07539127ST-4-0	0.2786495399897528	0.7213504600102474
CCMD50529145ST	0.3016348839240041	0.6983651160759957
HmFeces_10135	0.11448690019336753	0.8855130998066322
MSC45A	0.9770332972582971	0.02296670274170274
MMRS79893829ST	0.24405165867245943	0.7559483413275406
ANS49	0.36867875832052244	0.6313212416794778
S1_023	0.29532526826590005	0.7046747317341002
MMRS51410669ST	0.104103228196422	0.8958967718035785
HmFeces_10713	0.42821061398316906	0.571789386016831
SBJ33C	0.41610676929279866	0.5838932307072013
HmFeces_10306	0.5396441242432207	0.4603558757567792
S5_083	0.43036040763791383	0.5696395923620861
M2-PK041A	0.5635827258900827	0.436417274109917
CCIS95409808ST-4-0	0.411981501831502	0.5880184981684979
CCIS55230578ST-4-0	0.6425291259791257	0.357470874020874
S1_121	0.2783949259629242	0.7216050740370756
CCIS27304052ST-3-0	0.20431813187574652	0.7956818681242537
MSC6A	0.7134425880277274	0.28655741197227275
HmFeces_11299	0.232318109435521	0.7676818905644799
HmFeces_10635	0.715837441724942	0.28416255827505826
HmFeces_10832	0.15127580612883668	0.848724193871163
S1_083	0.09504923140969121	0.9049507685903095
CCIS11015875ST-4-0	0.5980729845324367	0.4019270154675636
HmFeces_11927	0.19342591684382454	0.8065740831561754
S1_111	0.29949771806131775	0.7005022819386817
MMRS97307143ST	0.4189456526215148	0.5810543473784857
CCIS94603952ST-4-0	0.3617004175567479	0.6382995824432524
CCMD46947453ST-21-0	0.2852555005576444	0.7147444994423562
CCIS13047523ST-4-0	0.33144952302094394	0.6685504769790561
SID31452	0.14090692492267687	0.8590930750773232
HmFeces_10819	0.4027703806682236	0.597229619331777
SID31874	0.8356212073794214	0.16437879262057883
S1_060_merged	0.5874610979706565	0.412538902029343
HmFeces_11957	0.9334886113886107	0.06651138861138867
ANS1186	0.44248653611658284	0.5575134638834167
HmFeces_10277	0.24524296763942433	0.754757032360576
SID31685	0.6286841131091134	0.37131588689088696
HmFeces_11973	0.289123336494633	0.7108766635053668
S6_035	0.3874948726666833	0.612505127333317
S5_018	0.8006761252636251	0.19932387473637456
S1_109	0.10062248322614875	0.8993775167738514
HmFeces_10788	0.5263110987679276	0.4736889012320725
SID31009	0.07511699682193809	0.9248830031780617
SID531416	0.9838185425685425	0.016181457431457425
MMRS11288076ST	0.2234153126576251	0.7765846873423747
CCIS09568613ST-4-0	0.7502370355571342	0.24976296444286591
SID531333	0.2940274675965634	0.7059725324034368
VF264	0.46090272982864133	0.5390972701713588
HmFeces_10812	0.6341537371125596	0.3658462628874393
CCMD54057834ST	0.2696902915505091	0.7303097084494911
HmFeces_10559	0.07013679305697082	0.9298632069430296
